filename,species_id,scientific_name,gbif_occurrence_id,gbif_dataset_key,source_url,license,rights_holder,recorded_by,locality
PL.OS_Pleurotus_ostreatus_gbif_01.jpg,PL.OS,Pleurotus ostreatus,5937971321,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,https://live.staticflickr.com/65535/55017387855_a2f3872e41_b.jpg,http://creativecommons.org/licenses/by/4.0/legalcode,,881932368,"Lauer Holz - Hundewald, Lübeck"
PL.OS_Pleurotus_ostreatus_gbif_02.jpg,PL.OS,Pleurotus ostreatus,5938048318,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/605179412/original.jpg,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Dan Vickers,Dan Vickers,
PL.OS_Pleurotus_ostreatus_gbif_03.jpg,PL.OS,Pleurotus ostreatus,5938145315,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/604455513/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bigyear2026,bigyear2026,
PL.OS_Pleurotus_ostreatus_gbif_04.jpg,PL.OS,Pleurotus ostreatus,5938155771,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/605483227/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/legalcode,charlotte-bug,charlotte-bug,
PL.OS_Pleurotus_ostreatus_gbif_05.jpg,PL.OS,Pleurotus ostreatus,5938194098,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/604799819/original.jpg,http://creativecommons.org/licenses/by/4.0/legalcode,Holly,Holly,
PL.OS_Pleurotus_ostreatus_gbif_06.jpg,PL.OS,Pleurotus ostreatus,5938358483,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/605257129/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/legalcode,anneb44,anneb44,
PL.OS_Pleurotus_ostreatus_gbif_07.jpg,PL.OS,Pleurotus ostreatus,5938370703,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/605182523/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/legalcode,katyarose1,katyarose1,
PL.OS_Pleurotus_ostreatus_gbif_08.jpg,PL.OS,Pleurotus ostreatus,5938370900,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/605473903/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/legalcode,katiebeec,katiebeec,
PL.OS_Pleurotus_ostreatus_gbif_09.jpg,PL.OS,Pleurotus ostreatus,5938385961,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/604606961/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/legalcode,ethana05,ethana05,
PL.OS_Pleurotus_ostreatus_gbif_10.jpg,PL.OS,Pleurotus ostreatus,5938404273,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/605709484/original.jpg,http://creativecommons.org/publicdomain/zero/1.0/legalcode,NENP_StBartsNewbury,NENP_StBartsNewbury,
PL.OS_Pleurotus_ostreatus_gbif_11.jpg,PL.OS,Pleurotus ostreatus,5938423693,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/605690054/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Ирина Шиварутина,Ирина Шиварутина,
PL.OS_Pleurotus_ostreatus_gbif_12.jpg,PL.OS,Pleurotus ostreatus,5938445134,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://inaturalist-open-data.s3.amazonaws.com/photos/604670791/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Ann Durham,Ann Durham,
